    1.500000    8.100000    1.100000    0.657468 1053.773545
    1.500000    8.100000    3.755556    1.417605  238.580067
    1.500000    8.100000    6.411111    1.910441  148.381793
    1.500000    8.100000    9.066667    2.278246  114.168251
    1.500000    8.100000   11.722222    2.576597   95.451571
    1.500000    8.100000   14.377778    2.831504   83.283867
    1.500000    8.100000   17.033333    3.056728   74.561190
    1.500000    8.100000   19.688889    3.260319   67.908507
    1.500000    8.100000   22.344444    3.447358   62.614741
    1.500000    8.100000   25.000000    3.621270   58.270830
    4.666667    8.100000    1.100000    1.002872  662.974401
    4.666667    8.100000    3.755556    2.058674  150.128658
    4.666667    8.100000    6.411111    2.798863   87.598430
    4.666667    8.100000    9.066667    3.388219   64.243233
    4.666667    8.100000   11.722222    3.884927   51.874315
    4.666667    8.100000   14.377778    4.318863   44.090277
    4.666667    8.100000   17.033333    4.707430   38.669489
    4.666667    8.100000   19.688889    5.061596   34.637699
    4.666667    8.100000   22.344444    5.388720   31.498368
    4.666667    8.100000   25.000000    5.693933   28.970426
    7.833333    8.100000    1.100000    1.249039  499.130349
    7.833333    8.100000    3.755556    2.511410  114.695052
    7.833333    8.100000    6.411111    3.406807   65.875636
    7.833333    8.100000    9.066667    4.133294   47.588886
    7.833333    8.100000   11.722222    4.754518   37.964800
    7.833333    8.100000   14.377778    5.302771   31.959801
    7.833333    8.100000   17.033333    5.797178   27.814007
    7.833333    8.100000   19.688889    6.250053   24.755286
    7.833333    8.100000   22.344444    6.669828   22.390944
    7.833333    8.100000   25.000000    7.062500   20.499468
   11.000000    8.100000    1.100000    1.450838  406.962379
   11.000000    8.100000    3.755556    2.882232   94.579387
   11.000000    8.100000    6.411111    3.899644   53.940787
   11.000000    8.100000    9.066667    4.732268   38.662794
   11.000000    8.100000   11.722222    5.449816   30.638657
   11.000000    8.100000   14.377778    6.086918   25.651394
   11.000000    8.100000   17.033333    6.664064   22.223116
   11.000000    8.100000   19.688889    7.194530   19.704482
   11.000000    8.100000   22.344444    7.687480   17.765324
   11.000000    8.100000   25.000000    8.149526   16.219626
   14.166667    8.100000    1.100000    1.625963  346.778361
   14.166667    8.100000    3.755556    3.204225   81.302814
   14.166667    8.100000    6.411111    4.325338   46.189496
   14.166667    8.100000    9.066667    5.247064   32.945435
   14.166667    8.100000   11.722222    6.045195   25.994360
   14.166667    8.100000   14.377778    6.756696   21.683250
   14.166667    8.100000   17.033333    7.403286   18.727451
   14.166667    8.100000   19.688889    7.999084   16.561692
   14.166667    8.100000   22.344444    8.553840   14.898469
   14.166667    8.100000   25.000000    9.074621   13.575874
   17.333333    8.100000    1.100000    1.782753  303.917097
   17.333333    8.100000    3.755556    3.492813   71.757613
   17.333333    8.100000    6.411111    4.705679   40.669814
   17.333333    8.100000    9.066667    5.705479   28.910929
   17.333333    8.100000   11.722222    6.573942   22.740182
   17.333333    8.100000   14.377778    7.350327   18.917972
   17.333333    8.100000   17.033333    8.057547   16.301871
   17.333333    8.100000   19.688889    8.710458   14.388510
   17.333333    8.100000   22.344444    9.319348   12.921755
   17.333333    8.100000   25.000000    9.891683   11.757377
   20.500000    8.100000    1.100000    1.925927  271.605455
   20.500000    8.100000    3.755556    3.756671   64.502899
   20.500000    8.100000    6.411111    5.052727   36.501011
   20.500000    8.100000    9.066667    6.122774   25.883509
   20.500000    8.100000   11.722222    7.054274   20.311053
   20.500000    8.100000   14.377778    7.888740   16.862282
   20.500000    8.100000   17.033333    8.650233   14.504626
   20.500000    8.100000   19.688889    9.354313   12.782581
   20.500000    8.100000   22.344444   10.011746   11.464249
   20.500000    8.100000   25.000000   10.630362   10.419044
   23.666667    8.100000    1.100000    2.058465  246.245694
   23.666667    8.100000    3.755556    4.001256   58.768786
   23.666667    8.100000    6.411111    5.373986   33.220545
   23.666667    8.100000    9.066667    6.508386   23.512815
   23.666667    8.100000   11.722222    7.497425   18.416586
   23.666667    8.100000   14.377778    8.384812   15.264276
   23.666667    8.100000   17.033333    9.195740   13.111196
   23.666667    8.100000   19.688889    9.946446   11.540164
   23.666667    8.100000   22.344444   10.648144   10.338687
   23.666667    8.100000   25.000000   11.308982    9.387089
   26.833333    8.100000    1.100000    2.182391  225.734780
   26.833333    8.100000    3.755556    4.230265   54.102434
   26.833333    8.100000    6.411111    5.674501   30.559598
   26.833333    8.100000    9.066667    6.868616   21.597171
   26.833333    8.100000   11.722222    7.910873   16.890755
   26.833333    8.100000   14.377778    8.847127   13.980644
   26.833333    8.100000   17.033333    9.703676   11.994322
   26.833333    8.100000   19.688889   10.497393   10.546116
   26.833333    8.100000   22.344444   11.239938    9.439487
   26.833333    8.100000   25.000000   11.939776    8.563727
   30.000000    8.100000    1.100000    2.299157  208.754289
   30.000000    8.100000    3.755556    4.446342   50.218249
   30.000000    8.100000    6.411111    5.957854   28.350124
   30.000000    8.100000    9.066667    7.207915   20.011443
   30.000000    8.100000   11.722222    8.299894   15.631108
   30.000000    8.100000   14.377778    9.281729   12.923303
   30.000000    8.100000   17.033333   10.180784   11.076028
   30.000000    8.100000   19.688889   11.014581    9.730056
   30.000000    8.100000   22.344444   11.795184    8.702241
   30.000000    8.100000   25.000000   12.531370    7.889400
