    1.500000    7.000000    1.100000    0.656014 1081.507297
    1.500000    7.000000    2.088889    0.983289  479.604677
    1.500000    7.000000    3.077778    1.245393  313.961655
    1.500000    7.000000    4.066667    1.464302  239.850241
    1.500000    7.000000    5.055556    1.652341  198.102705
    1.500000    7.000000    6.044444    1.817498  171.185803
    1.500000    7.000000    7.033333    1.965199  152.242582
    1.500000    7.000000    8.022222    2.099240  138.072304
    1.500000    7.000000    9.011111    2.222347  126.992570
    1.500000    7.000000   10.000000    2.336530  118.033170
    4.666667    7.000000    1.100000    1.002242  672.678779
    4.666667    7.000000    2.088889    1.455229  303.933943
    4.666667    7.000000    3.077778    1.825644  195.110362
    4.666667    7.000000    4.066667    2.145928  145.133641
    4.666667    7.000000    5.055556    2.430490  116.814313
    4.666667    7.000000    6.044444    2.687757   98.635831
    4.666667    7.000000    7.033333    2.923340   85.964495
    4.666667    7.000000    8.022222    3.141239   76.600672
    4.666667    7.000000    9.011111    3.344432   69.375356
    4.666667    7.000000   10.000000    3.535198   63.611578
    7.833333    7.000000    1.100000    1.248591  505.011625
    7.833333    7.000000    2.088889    1.792105  231.125898
    7.833333    7.000000    3.077778    2.235615  148.225585
    7.833333    7.000000    4.066667    2.621032  109.673845
    7.833333    7.000000    5.055556    2.965988   87.698741
    7.833333    7.000000    6.044444    3.280281   73.564184
    7.833333    7.000000    7.033333    3.570194   63.714918
    7.833333    7.000000    8.022222    3.840116   56.449509
    7.833333    7.000000    9.011111    4.093281   50.858188
    7.833333    7.000000   10.000000    4.332164   46.412002
   11.000000    7.000000    1.100000    1.450476  411.181573
   11.000000    7.000000    2.088889    2.068723  189.778225
   11.000000    7.000000    3.077778    2.571536  121.799217
   11.000000    7.000000    4.066667    3.008856   89.943097
   11.000000    7.000000    5.055556    3.401285   71.709176
   11.000000    7.000000    6.044444    3.760002   59.957798
   11.000000    7.000000    7.033333    4.092024   51.764321
   11.000000    7.000000    8.022222    4.402175   45.722225
   11.000000    7.000000    9.011111    4.693967   41.076530
   11.000000    7.000000   10.000000    4.970070   37.387063
   14.166667    7.000000    1.100000    1.625653  350.067921
   14.166667    7.000000    2.088889    2.309122  162.561032
   14.166667    7.000000    3.077778    2.863266  104.437820
   14.166667    7.000000    4.066667    3.345086   77.054504
   14.166667    7.000000    5.055556    3.777879   61.332439
   14.166667    7.000000    6.044444    4.174126   51.183117
   14.166667    7.000000    7.033333    4.541566   44.101524
   14.166667    7.000000    8.022222    4.885456   38.878884
   14.166667    7.000000    9.011111    5.209592   34.864595
   14.166667    7.000000   10.000000    5.516838   31.678570
   17.333333    7.000000    1.100000    1.782478  306.612720
   17.333333    7.000000    2.088889    2.524633  143.052505
   17.333333    7.000000    3.077778    3.124738   91.997740
   17.333333    7.000000    4.066667    3.646169   67.848008
   17.333333    7.000000    5.055556    4.114690   53.949170
   17.333333    7.000000    6.044444    4.544004   44.964444
   17.333333    7.000000    7.033333    4.942536   38.691053
   17.333333    7.000000    8.022222    5.315967   34.063404
   17.333333    7.000000    9.011111    5.668372   30.506790
   17.333333    7.000000   10.000000    6.002808   27.684931
   20.500000    7.000000    1.100000    1.925678  273.888812
   20.500000    7.000000    2.088889    2.721665  128.268152
   20.500000    7.000000    3.077778    3.363796   82.567559
   20.500000    7.000000    4.066667    3.921299   60.882100
   20.500000    7.000000    5.055556    4.422228   48.377247
   20.500000    7.000000    6.044444    4.881430   40.284227
   20.500000    7.000000    7.033333    5.307985   34.629832
   20.500000    7.000000    8.022222    5.707981   30.457660
   20.500000    7.000000    9.011111    6.085763   27.251058
   20.500000    7.000000   10.000000    6.444577   24.707343
   23.666667    7.000000    1.100000    2.058236  248.226160
   23.666667    7.000000    2.088889    2.904268  116.613582
   23.666667    7.000000    3.077778    3.585377   75.129836
   23.666667    7.000000    4.066667    4.176240   55.394578
   23.666667    7.000000    5.055556    4.707050   43.995898
   23.666667    7.000000    6.044444    5.193734   36.611417
   23.666667    7.000000    7.033333    5.645996   31.449076
   23.666667    7.000000    8.022222    6.070314   27.638903
   23.666667    7.000000    9.011111    6.471295   24.710319
   23.666667    7.000000   10.000000    6.852369   22.387346
   26.833333    7.000000    1.100000    2.182179  227.483301
   26.833333    7.000000    2.088889    3.075192  107.152038
   26.833333    7.000000    3.077778    3.792829   69.087912
   26.833333    7.000000    4.066667    4.414884   50.940436
   26.833333    7.000000    5.055556    4.973570   40.444426
   26.833333    7.000000    6.044444    5.485836   33.638830
   26.833333    7.000000    7.033333    5.961981   28.878694
   26.833333    7.000000    8.022222    6.408859   25.364412
   26.833333    7.000000    9.011111    6.831328   22.662992
   26.833333    7.000000   10.000000    7.232999   20.520276
   30.000000    7.000000    1.100000    2.298959  210.319498
   30.000000    7.000000    2.088889    3.236409   99.293605
   30.000000    7.000000    3.077778    3.988545   64.066421
   30.000000    7.000000    4.066667    4.640011   47.240578
   30.000000    7.000000    5.055556    5.224931   37.497417
   30.000000    7.000000    6.044444    5.761230   31.175149
   30.000000    7.000000    7.033333    6.259776   26.750989
   30.000000    7.000000    8.022222    6.727783   23.483891
   30.000000    7.000000    9.011111    7.170355   20.972200
   30.000000    7.000000   10.000000    7.591275   18.979975
